 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity
1,146.547,19,0.119,63.165
2,165.135,24,0.142,58.308
3,178.747,15,0.113,67.832
4,143.167,16,0.123,73.296
5,146.021,18,0.124,65.515
6,169.5,22,0.154,52.593
7,146.913,21,0.101,82.44
8,100.94,6,0.094,71.167
9,95.344,10,0.095,77.704
10,184.559,24,0.153,60.227
11,190.548,25,0.129,54.636
12,113.304,21,0.135,60.595
13,84.21,13,0.152,53.386
14,116.364,20,0.134,55.847
15,159.061,38,0.11,71.825
16,142.585,23,0.102,80.576
17,86.773,13,0.111,68.982
18,165.088,19,0.109,62.676
19,220.383,28,0.105,68.509
20,107.793,14,0.111,75.776
21,101.043,16,0.136,59.427
22,112.346,15,0.12,72.636
23,197.73,8,0.099,57.149
24,85.027,8,0.093,60.443
25,98.339,13,0.104,92.23
26,110.75,17,0.161,54.903
27,121.152,24,0.133,63.239
28,135.272,30,0.116,71.464
29,113.576,18,0.119,64.983
30,103.747,25,0.098,74.858
31,126.381,17,0.097,70.23
32,114.571,12,0.098,72.717
33,93.429,25,0.109,83.505
34,138.755,19,0.119,67.384
35,123.02,21,0.106,79.504
36,120.504,23,0.156,54.695
37,106.629,21,0.106,73.879
38,96.527,15,0.149,56.709
39,172.063,11,0.093,57.736
40,120.27,30,0.133,74.341
41,104.075,17,0.109,87.02
42,95.626,21,0.17,54.254
43,93.852,21,0.115,63.881
44,83.788,18,0.09,83.858
45,147.279,30,0.13,68.002
46,148.621,31,0.111,78.367
47,104.779,34,0.102,83.454
48,108.976,12,0.111,106.331
49,114.365,32,0.116,67.845
50,121.377,29,0.106,71.727
51,117.613,17,0.11,66.507
52,111.736,20,0.118,70.843
53,110.271,9,0.105,62.631
54,105.455,22,0.143,67.22
55,93.185,5,0.16,37.213
56,116.496,39,0.128,67.041
57,125.893,41,0.118,84.793
58,139.609,21,0.109,65.351
59,87.149,21,0.136,61.549
60,133.084,37,0.118,81.448
61,104.901,15,0.11,69.613
62,144.293,26,0.118,59.948
63,118.871,1,0.094,55.5
64,122.119,19,0.114,79.546
65,113.013,30,0.101,87.896
66,72.757,9,0.108,61.961
67,177.067,34,0.108,66.188
68,121.697,21,0.093,79.736
69,96.612,14,0.111,84.921
70,80.249,9,0.1,52.229
71,100.029,29,0.123,72.746
72,104.939,36,0.108,88.379
73,140.773,19,0.121,63.324
74,112.487,26,0.109,66.59
75,103.728,13,0.128,59.536
76,129.996,6,0.106,58.254
77,111.079,30,0.124,71.746
78,125.067,18,0.178,55.71
79,127.921,28,0.127,66.654
80,105.296,17,0.099,83.481
81,142.575,42,0.101,73.21
82,115.378,24,0.162,58.669
83,108.732,28,0.118,71.956
84,154.724,23,0.122,64.958
85,124.457,11,0.163,43.272
86,117.988,35,0.108,83.678
87,105.521,18,0.108,70.535
88,118.852,29,0.119,74.308
89,178.597,31,0.114,71.548
90,109.154,31,0.104,80.106
91,121.396,8,0.11,61.174
92,109.727,24,0.126,57.214
93,90.547,17,0.105,79.853
94,134.877,27,0.135,60.188
95,98.752,14,0.109,81.595
96,136.783,23,0.107,74.729
97,185.178,12,0.119,47.112
98,150.076,32,0.13,66.608
99,143.871,25,0.128,71.032
100,119.265,9,0.131,43.361
101,109.013,21,0.149,62.396
102,211.577,30,0.095,71.06
103,119.988,24,0.114,68.378
104,110.797,25,0.12,63.568
105,103.634,16,0.151,56.162
106,104.967,19,0.103,62.296
107,96.049,19,0.108,63.173
108,110.187,29,0.139,59.409
109,138.999,25,0.111,65.719
110,98.189,12,0.134,60.841
111,147.063,16,0.124,71.903
112,93.26,15,0.101,78.562
