 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity
113,124.917,16,0.1,71.312
114,148.067,21,0.107,77.672
115,141.515,9,0.176,45.302
116,127.62,22,0.101,88.512
117,97.748,27,0.099,69.953
118,127.348,29,0.114,72.742
119,113.557,14,0.12,64.734
120,89.909,11,0.09,61.964
121,132.305,25,0.12,74.329
122,113.557,27,0.12,63.511
123,85.9,16,0.092,105.679
124,87.449,12,0.093,110.92
125,130.7,14,0.118,58.856
126,95.626,23,0.123,65.551
127,106.497,18,0.101,80.713
128,93.457,8,0.128,64.467
129,127.151,7,0.094,65.368
130,164.778,47,0.135,60
131,120.363,26,0.134,66.837
132,152.63,21,0.104,65.05
133,109.154,10,0.127,51.935
134,93.448,19,0.142,62.31
135,182.183,42,0.125,72.159
136,87.214,20,0.114,65.201
137,99.738,21,0.124,69.272
138,117.275,21,0.108,73.315
139,225.349,58,0.139,70.457
140,119.209,16,0.109,71.298
141,156.582,13,0.113,51.096
142,141.364,30,0.106,77.654
143,96.818,13,0.11,70.427
144,101.559,31,0.111,76.336
145,112.637,22,0.172,58.255
146,100.977,20,0.12,69.307
147,88.688,30,0.13,66.09
148,113.595,21,0.12,77.454
149,104.948,18,0.132,64.255
150,189.318,30,0.139,74.934
151,136.013,28,0.102,76.343
152,99.823,17,0.124,63.866
153,77.169,8,0.137,54.983
154,127.029,36,0.124,75.687
155,83.309,16,0.107,87.333
156,111.163,30,0.11,72.683
157,103.681,7,0.169,67.78
158,109.211,30,0.113,76.695
159,104.695,29,0.117,76.147
160,86.923,19,0.107,79.75
161,122.992,18,0.113,64.053
162,91.843,25,0.133,74.249
163,95.88,18,0.116,63.716
164,161.286,18,0.122,55.489
165,109.201,14,0.109,67.139
166,102.996,13,0.142,70.005
167,109.915,33,0.125,86.716
168,111.154,17,0.204,51.336
169,91.317,21,0.151,62.091
170,133.835,26,0.151,67.881
171,123.199,21,0.119,71.052
172,108.488,23,0.104,92.417
173,91.308,14,0.097,88.836
174,121.03,21,0.162,60.027
175,84.361,16,0.127,72.159
176,125.987,28,0.106,82.951
177,95.495,21,0.151,56.86
178,105.765,26,0.12,64.894
179,247.74,38,0.133,68.366
180,109.99,5,0.105,51.375
181,103.155,24,0.117,60.627
182,108.459,7,0.127,53.888
183,173.847,19,0.108,83.66
184,116.655,21,0.093,84.376
185,113.435,21,0.121,76.038
186,106.066,25,0.141,66.847
187,178.175,44,0.121,69.517
188,183.488,44,0.116,83.448
189,138.013,25,0.099,110.694
190,120.561,32,0.118,74.416
191,113.313,25,0.105,77.052
192,108.197,20,0.123,55.955
193,107.07,16,0.102,66
194,141.862,35,0.162,67.298
195,112.534,33,0.1,88.079
196,118.589,24,0.115,64.876
197,107.07,29,0.105,80.261
198,112.13,19,0.13,56.044
199,133.657,24,0.101,75.715
200,112.111,12,0.095,68.136
201,98.696,12,0.099,69.971
202,107.455,29,0.101,74.417
203,161.962,34,0.109,81.746
204,83.243,9,0.153,53.435
205,81.234,11,0.149,51.027
206,111.098,30,0.124,63.39
207,85.149,15,0.125,56.551
208,136.436,46,0.14,62.914
209,113.736,21,0.101,84.191
210,88.012,13,0.104,56.604
211,113.595,18,0.123,73.961
212,141.44,36,0.12,71.823
213,88.303,21,0.099,88.494
214,87.562,12,0.107,73.428
215,95.363,27,0.114,68.732
216,84.238,14,0.091,98.295
217,129.085,22,0.118,81.01
218,104.873,16,0.113,79.256
219,96.368,14,0.187,52.017
220,82.333,16,0.107,59.753
221,83.722,14,0.099,76.356
222,130.878,28,0.133,75.288
223,84.276,23,0.102,73.819
224,83.647,19,0.128,104.081
225,105.868,25,0.167,61.283
226,89.984,16,0.086,76.635
227,145.777,24,0.111,70.301
228,86.032,16,0.136,63.397
229,119.162,28,0.132,55.796
230,113.501,19,0.133,68.041
231,128.334,18,0.098,60.136
232,101.409,17,0.161,52.199
233,162.562,17,0.125,62.718
234,146.077,36,0.118,65.312
235,117.547,22,0.128,65.567
236,161.539,43,0.121,81.504
237,162.412,34,0.124,66.808
238,102.226,29,0.104,77.034
239,99.109,22,0.095,84.236
240,117.031,21,0.109,63.867
241,123.593,21,0.115,77.124
242,96.893,11,0.106,63.408
243,112.083,17,0.098,88.875
244,98.499,23,0.159,60.564
245,135.45,23,0.102,86.747
246,95.035,17,0.121,78.379
247,111.942,29,0.118,74.342
248,127.179,31,0.131,60.625
249,109.924,17,0.112,55.3
250,132.512,16,0.181,51.955
251,110.459,18,0.1,68.559
252,119.209,27,0.12,63.065
253,142.36,39,0.131,80.846
254,135.356,28,0.107,67.652
255,86.839,19,0.138,60.972
256,120.251,13,0.121,56.917
257,98.086,41,0.107,75.084
258,155.484,12,0.106,65.208
259,153.841,40,0.121,85.022
260,123.349,14,0.176,50.875
261,146.584,38,0.111,79.045
262,111.191,29,0.13,75.714
263,111.698,30,0.1,82.908
264,92.265,18,0.099,73.795
265,91.824,19,0.097,65.883
266,110.609,27,0.123,66.321
267,97.447,28,0.113,91.994
268,103.371,16,0.107,85.052
269,113.998,25,0.137,55.664
270,84.257,18,0.101,74.87
271,89.533,19,0.11,79.987
272,104.779,20,0.163,62.854
273,131.545,28,0.118,62.597
274,119.716,30,0.115,107.297
275,118.345,16,0.174,54.072
276,105.042,17,0.121,63.948
277,90.275,26,0.104,77.88
278,226.701,25,0.14,58.291
279,129.16,19,0.149,64.988
280,113.773,38,0.124,94.395
281,134.915,20,0.119,55.217
282,148.199,38,0.117,81.221
283,110.253,35,0.12,88.103
284,93.457,7,0.13,61.15
285,104.197,19,0.124,65.945
286,101.334,23,0.101,94.386
287,153.109,44,0.112,77.868
288,82.605,12,0.117,71.659
289,82.192,16,0.131,64.559
290,82.126,11,0.094,67.142
291,108.366,23,0.144,59.158
292,98.274,22,0.112,70.658
293,93.589,16,0.124,62.941
294,112.046,30,0.11,88.142
295,118.307,25,0.119,80.04
296,134.633,33,0.136,73.933
297,95.298,18,0.127,67.474
298,125.114,21,0.105,76.612
299,70.71,9,0.112,61.696
300,113.003,18,0.099,62.111
301,106.112,17,0.092,99.247
302,118.486,25,0.1,85.996
303,173.509,38,0.115,82.812
304,93.035,15,0.117,80.97
305,107.737,31,0.121,67.128
306,123.546,13,0.177,46.706
307,101.653,21,0.114,80.844
308,118.383,24,0.105,82.951
309,108.459,25,0.116,80.039
310,166.027,42,0.114,85.473
311,123.649,24,0.098,74.309
312,134.267,35,0.126,66.679
313,112.252,16,0.117,80.28
314,131.948,22,0.106,65.734
315,144.096,22,0.131,59.755
316,150.508,29,0.115,68.971
317,130.324,34,0.117,73.964
318,115.04,35,0.103,88.272
319,156.085,34,0.12,76.098
320,108.009,22,0.129,78.179
321,141.092,31,0.127,58.501
322,72.541,8,0.124,65.062
323,191.149,34,0.134,58.565
324,158.695,44,0.112,74.113
325,112.064,24,0.123,65.503
326,94.387,16,0.112,93.679
327,142.838,26,0.103,62.825
328,135.854,20,0.107,61.509
329,157.812,31,0.117,69.237
330,97.87,20,0.101,78.905
331,177.527,24,0.143,54.572
332,153.052,32,0.111,64.992
333,97.926,16,0.114,60.701
334,134.023,29,0.103,73.147
335,123.865,22,0.108,80.378
336,216.75,26,0.125,62.977
337,122.767,17,0.106,68.308
338,153.747,44,0.103,87.984
339,94.64,17,0.109,53.083
340,116.655,41,0.109,66.893
341,101.616,11,0.127,61.265
342,133.141,21,0.119,62.037
343,125.649,16,0.126,65.244
344,117.143,25,0.122,69.449
345,91.505,22,0.199,48.607
346,105.08,11,0.173,52.043
347,86.51,11,0.126,49.432
348,79.967,21,0.108,65.593
349,104.761,19,0.115,57.933
350,114.064,19,0.144,61.092
351,98.02,18,0.154,58.661
352,112.862,14,0.133,65.787
353,97.072,14,0.107,72.497
354,81.685,23,0.108,73.074
355,149.992,28,0.127,63.385
356,102.695,18,0.095,73.783
357,120.072,10,0.095,64.691
358,120.692,31,0.108,107.793
359,117.97,41,0.11,91.459
360,82.464,7,0.161,61.2
361,99.09,26,0.1,72.975
362,91.27,26,0.105,89.383
363,119.03,19,0.103,74.707
364,89.214,13,0.113,68.245
365,98.734,16,0.144,68.668
366,208.179,36,0.105,58.8
367,91.664,20,0.144,68.31
368,80.042,24,0.105,71.141
369,88.407,18,0.117,62.342
370,149.936,33,0.098,78.059
371,105.042,14,0.12,55.391
372,123.274,28,0.123,73.266
373,116.552,27,0.115,54.662
374,146.19,30,0.112,76.003
375,83.103,16,0.106,55.811
376,90.885,18,0.114,62.31
377,98.546,33,0.102,85.661
378,96.565,19,0.141,62.455
379,90.697,12,0.104,68.777
380,99.86,25,0.107,85.09
381,107.061,27,0.132,72.501
382,94.659,24,0.108,63.83
383,104.901,23,0.114,64.451
384,81.741,17,0.107,71.985
385,127.395,10,0.101,86.25
386,105.652,24,0.158,52.329
387,139.402,22,0.139,65.247
388,100.996,12,0.099,73.127
389,121.565,25,0.109,76.159
390,161.53,32,0.111,71.441
391,118.261,28,0.126,63.308
392,113.21,30,0.115,64.259
393,120.983,26,0.102,63.703
394,129.507,24,0.116,83.1
395,99.137,19,0.126,54.112
396,82.492,15,0.12,58.969
397,121.575,27,0.126,66.165
398,99.325,17,0.137,60.992
399,109.68,16,0.103,74.967
400,97.241,13,0.14,72
401,82.342,21,0.131,66.343
402,124.006,10,0.092,64.53
403,108.779,25,0.122,61.311
404,109.304,20,0.103,75.402
405,110.093,25,0.124,66.752
406,114.665,20,0.103,78.45
407,147.1,40,0.132,65.066
408,131.385,20,0.122,64.931
409,114.787,11,0.135,63.634
410,123.612,29,0.111,75.62
411,108.91,21,0.119,82.536
412,93.448,25,0.163,55.837
413,98.396,18,0.153,62.569
414,132.267,40,0.114,80.071
415,83.487,29,0.101,85.563
416,100.508,18,0.116,52.095
417,81.647,19,0.128,77.786
418,113.726,23,0.162,58.748
419,126.916,21,0.121,63.572
420,90.998,17,0.108,69.803
421,106.206,29,0.125,70.191
422,132.962,14,0.142,66.7
423,146.603,39,0.129,67.725
424,97.034,14,0.137,63.51
425,119.021,10,0.145,48.788
426,96.94,24,0.103,58.304
427,127.113,34,0.099,69.026
428,118.927,27,0.124,75.135
429,143.664,32,0.119,70.94
430,112.111,44,0.117,90.62
431,99.654,24,0.105,74.198
432,104.995,30,0.137,72.227
433,122.166,17,0.155,52.573
434,136.023,36,0.144,61.506
435,88.867,15,0.138,48.982
436,104.554,21,0.168,62.027
437,93.26,14,0.11,73.069
438,117.237,23,0.189,55.123
439,100.358,17,0.11,78.591
440,103.709,17,0.136,62.918
441,89.843,25,0.134,65.829
442,93.626,21,0.105,58.52
443,126.362,15,0.186,47.286
444,84.849,17,0.113,76.032
445,186.474,20,0.136,63.555
446,123.724,30,0.171,58.43
447,117.387,25,0.151,58.094
448,119.472,14,0.114,59.89
449,96.922,16,0.112,67.219
450,83.412,19,0.142,60.607
451,115.5,22,0.147,84.014
452,86.182,12,0.115,71.446
453,90.988,19,0.096,80.99
454,148.931,22,0.105,69.351
455,102.808,27,0.128,65.953
456,123.189,25,0.131,58.832
457,123.058,37,0.12,61.919
458,129.291,33,0.122,73.379
459,99.222,15,0.12,69.343
460,99.231,19,0.114,74.14
461,97.71,22,0.114,67.058
462,102.376,16,0.104,74.942
463,90.359,10,0.114,58.137
464,145.073,25,0.147,54.873
465,126.616,22,0.178,54.348
466,106.375,23,0.129,71.385
467,186.061,29,0.13,72.644
468,195.496,23,0.146,55.164
469,199.739,39,0.115,85.332
470,176.785,18,0.187,52.085
471,196.162,12,0.129,81.017
472,119.134,15,0.126,71.155
473,108.685,11,0.103,84.246
474,112.515,14,0.105,77.971
475,167.36,34,0.098,74.386
476,94.049,15,0.11,80.264
477,121.462,22,0.14,66.566
478,174.053,36,0.146,62.922
479,131.676,21,0.111,77.496
480,112.431,21,0.111,73.026
481,107.023,14,0.17,55.277
482,120.514,16,0.114,72.21
483,114.111,17,0.103,66.582
484,121.086,23,0.121,65.677
485,158.422,25,0.17,51.43
486,110.459,20,0.119,79.374
487,100.639,26,0.11,74.99
488,88.67,11,0.1,51.805
489,92.697,18,0.18,52.791
490,121.002,9,0.249,49.742
