 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
159,103.061,29,0.128,20.938,339.979
160,106.938,27,0.120,26.757,287.852
161,95.861,11,0.124,15.719,534.263
162,102.273,12,0.103,21.425,32.590
163,104.882,22,0.123,20.979,179.763
164,93.758,17,0.100,25.536,128.282
165,90.444,11,0.125,15.975,119.630
166,88.219,13,0.119,19.411,187.324
167,136.060,13,0.134,16.593,438.429
168,124.071,25,0.164,20.025,314.901
169,112.289,11,0.130,15.693,414.599
170,90.049,21,0.115,25.769,170.743
171,112.609,32,0.119,25.491,340.474
172,137.665,42,0.141,29.293,362.641
173,89.026,21,0.160,18.687,378.334
174,108.628,13,0.114,20.759,100.561
175,100.470,26,0.161,25.926,353.873
176,165.641,28,0.125,24.165,492.266
177,105.774,18,0.102,21.485,137.649
178,106.131,16,0.114,19.995,389.031
179,146.856,33,0.122,24.946,469.041
180,101.306,24,0.113,27.651,307.782
181,82.783,13,0.131,19.236,248.075
182,77.272,16,0.114,19.894,284.951
183,120.100,44,0.126,28.811,351.940
184,90.772,32,0.125,29.055,371.906
185,118.748,18,0.118,26.683,435.491
186,99.644,15,0.143,17.895,160.744
187,78.803,7,0.161,14.016,542.589
188,92.049,16,0.131,19.337,168.131
189,133.375,16,0.096,28.833,103.956
190,96.856,25,0.104,26.615,392.178
191,92.556,11,0.127,29.396,322.324
192,125.733,14,0.158,16.222,532.227
193,153.146,35,0.153,25.039,447.601
194,96.330,24,0.127,22.390,370.766
195,87.205,22,0.109,26.798,462.980
196,114.561,7,0.166,19.732,108.323
197,114.111,17,0.103,26.108,240.497
198,142.538,18,0.154,19.163,493.813
199,107.999,27,0.117,23.020,274.661
200,145.786,19,0.167,15.665,532.708
201,100.733,29,0.129,26.769,287.697
202,124.203,20,0.125,20.549,393.243
203,106.178,32,0.136,27.656,305.251
204,86.060,5,0.176,13.173,2.754
205,110.412,13,0.104,19.021,96.801
206,97.410,23,0.135,22.006,277.967
207,105.530,20,0.116,20.694,178.720
208,104.385,22,0.129,19.909,470.053
209,79.525,13,0.118,17.924,133.713
210,125.808,31,0.116,24.023,239.957
211,91.542,6,0.099,20.328,114.095
212,93.758,9,0.218,17.954,421.710
213,82.445,22,0.125,25.614,356.921
214,81.178,17,0.181,17.158,270.520
215,97.888,12,0.160,14.900,457.661
216,106.018,24,0.110,30.937,366.905
217,123.921,23,0.146,22.721,433.180
218,106.544,15,0.109,20.886,23.586
219,109.060,18,0.144,17.526,492.246
220,108.497,25,0.096,26.271,185.044
221,86.520,27,0.114,32.891,353.098
222,115.885,18,0.114,28.126,371.917
223,96.480,21,0.145,22.640,327.039
224,123.133,22,0.149,20.897,292.873
225,87.787,18,0.178,20.822,206.798
226,167.725,19,0.113,22.134,117.956
227,127.047,10,0.132,17.583,456.045
228,139.271,19,0.105,20.088,520.146
229,125.113,26,0.131,20.280,430.986
230,127.047,36,0.155,20.712,222.336
231,107.624,15,0.182,17.735,251.961
232,100.836,13,0.101,21.282,265.441
233,113.585,21,0.106,21.918,280.968
234,104.422,15,0.125,18.695,155.679
235,119.603,27,0.107,31.940,359.021
236,110.196,20,0.122,21.784,321.044
237,77.394,6,0.110,16.487,132.208
238,107.652,28,0.121,27.814,368.587
239,100.892,17,0.107,19.065,126.182
240,94.734,18,0.150,20.703,461.463
241,92.246,10,0.281,13.862,453.765
242,113.022,27,0.128,26.045,226.575
243,93.908,23,0.136,23.624,386.429
244,90.904,17,0.128,19.731,409.315
245,139.900,32,0.140,29.110,301.438
246,102.132,18,0.116,26.953,236.562
247,108.525,24,0.165,19.701,252.126
248,119.021,20,0.122,20.785,277.286
249,99.137,13,0.105,24.856,159.375
250,95.391,26,0.151,23.998,370.523
251,149.654,34,0.117,26.090,326.610
252,131.835,23,0.120,25.306,197.648
253,88.651,6,0.102,21.000,524.731
254,130.192,33,0.136,18.398,456.523
255,86.773,17,0.115,24.089,139.632
256,96.518,17,0.111,22.521,182.709
257,98.217,25,0.167,24.786,349.020
258,77.976,12,0.129,19.311,131.704
259,122.851,17,0.101,25.311,424.653
260,87.130,21,0.107,22.012,228.190
261,89.514,25,0.122,28.164,306.877
262,84.576,23,0.135,23.820,221.522
263,96.659,20,0.113,25.146,154.343
264,97.034,16,0.148,18.019,495.114
265,122.889,21,0.130,18.592,471.276
266,106.253,12,0.138,18.516,446.021
267,162.149,35,0.181,20.236,293.492
268,106.103,16,0.109,25.958,415.739
269,86.538,17,0.107,30.863,325.086
270,141.852,22,0.101,19.649,505.208
271,118.532,10,0.137,16.832,126.705
272,128.099,10,0.115,22.955,86.130
273,120.354,18,0.115,21.732,159.034
274,126.719,31,0.187,20.381,277.560
275,107.070,22,0.111,22.575,177.040
276,91.035,19,0.110,28.684,377.675
277,82.980,14,0.158,17.822,231.736
