 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity
199,114.383,10,0.149,31.22
200,117.078,22,0.145,32.989
201,88.782,9,0.103,40
202,91.448,13,0.127,41.679
203,95.87,18,0.125,46.988
204,101.878,16,0.145,37.93
205,126.334,14,0.146,29.258
206,138.604,14,0.141,38.553
207,114.787,18,0.119,46.816
208,106.732,16,0.154,40.215
209,106.479,11,0.103,41.713
210,145.908,12,0.138,43.297
211,112.355,14,0.103,60.442
212,145.42,19,0.13,40.401
213,95.025,12,0.127,49.084
214,82.699,12,0.104,39.91
215,100.32,13,0.1,43.657
216,105.455,14,0.135,40.578
217,87.524,13,0.122,48.331
218,90.613,6,0.152,26.193
219,110.825,11,0.099,46.7
220,127.996,14,0.095,61.88
221,101.991,3,0.097,38.97
222,121.302,12,0.111,47.02
223,96.358,4,0.099,58.667
224,105.709,5,0.175,28.919
225,118.514,11,0.143,38.844
226,96.161,23,0.116,67.67
227,84.501,5,0.122,54.138
228,126.832,23,0.109,51.665
229,100.339,24,0.117,55.484
230,99.372,22,0.116,73.028
231,98.837,22,0.108,50.031
232,97.842,10,0.108,43.457
233,109.455,19,0.126,51.015
234,111.689,10,0.131,32.897
235,82.192,7,0.113,49.744
236,90.519,10,0.095,55.485
237,83.318,15,0.167,52.255
238,94.387,11,0.114,52.297
239,87.768,8,0.103,74.443
240,108.807,3,0.091,48.152
241,97.4,10,0.107,39.448
242,102.188,6,0.092,61.017
243,112.919,20,0.103,73.774
244,91.589,23,0.095,58.642
245,98.771,16,0.12,36.4
246,119.246,24,0.134,68.36
247,102.292,4,0.141,29.443
248,105.775,13,0.109,40.601
249,117.847,11,0.104,51.847
250,94.96,18,0.11,83.896
251,97.851,16,0.15,50.262
252,90.895,13,0.129,56.151
253,94.856,8,0.13,44.412
254,117.613,15,0.207,31.026
255,105.277,10,0.113,49.81
256,123.771,16,0.105,60.532
257,87.562,19,0.102,47.466
258,100.968,23,0.119,46.127
259,94.978,13,0.173,43.514
260,108.732,11,0.135,42.591
261,111.708,12,0.105,62.416
262,106.92,15,0.101,38.769
263,83.91,24,0.138,52.148
264,101.578,16,0.165,36.403
265,101.4,12,0.165,33.1
266,96.574,12,0.172,41.638
267,99.672,13,0.111,49.625
268,108.413,7,0.129,34.68
269,100.198,17,0.1,62.393
270,120.87,22,0.115,48.662
271,98.987,15,0.116,40.825
272,126.268,18,0.138,35.241
273,82.07,7,0.117,37.448
274,93.617,9,0.154,36.591
275,106.526,22,0.112,43.12
276,89.806,4,0.087,44.233
277,119.237,12,0.154,32.796
278,97.551,16,0.111,54.503
279,91.918,7,0.094,40.7
280,114.318,32,0.111,61.356
281,143.064,19,0.097,44.98
282,117.134,22,0.124,40.734
283,128.775,20,0.103,48.149
284,100.461,11,0.113,52.603
285,110.9,31,0.119,53.553
286,115.763,14,0.195,31.878
287,111.942,23,0.129,50.978
288,88.303,15,0.194,44.152
289,101.559,14,0.139,41.779
290,104.592,12,0.126,44.748
291,114.702,14,0.112,44.273
292,101.963,15,0.135,46.78
293,86.069,17,0.125,48.142
294,95.307,29,0.122,67.494
295,96.997,19,0.103,77.549
296,117.5,18,0.103,51.11
297,106.751,9,0.129,27.752
298,107.502,22,0.126,53.842
299,87.196,11,0.134,44.734
300,111.229,20,0.105,67.603
301,105.052,9,0.096,68.931
302,108.61,24,0.119,55.388
303,93.382,18,0.186,40.176
304,109.868,24,0.123,55.987
305,122.119,14,0.101,47.471
306,93.476,18,0.105,52.438
307,102.836,12,0.112,40.58
308,113.031,18,0.191,30.835
309,106,11,0.107,54.559
310,104.338,6,0.13,32.66
311,90.5,16,0.114,43.566
312,129.254,23,0.146,47.902
313,147.091,17,0.112,55.014
314,126.963,24,0.145,42.987
315,103.155,26,0.108,64.17
316,97.926,10,0.142,31.814
317,120.148,14,0.127,49.729
318,95.579,25,0.123,63.057
319,124.738,40,0.108,69.814
320,107.83,25,0.124,70.337
321,125.79,26,0.119,56.466
322,98.349,21,0.166,55.056
323,126.747,29,0.114,54.86
324,78.089,10,0.12,36.215
325,106.957,7,0.137,30.682
326,125.011,17,0.129,45.425
327,141.271,19,0.116,47.821
328,159.408,22,0.182,36.908
329,94.434,4,0.099,37.465
330,109.201,10,0.132,43.759
331,102.32,35,0.108,65.453
332,104.695,14,0.109,45.829
333,110.384,19,0.144,64.337
334,110.985,10,0.148,40.461
335,108.751,21,0.114,54.78
336,110.478,25,0.11,88.089
337,107.014,23,0.109,42.771
338,104.432,21,0.157,47.042
339,116.815,30,0.129,59.938
340,107.333,22,0.107,71.472
341,117.491,11,0.12,46.901
342,101.512,30,0.103,79.935
343,105.07,13,0.105,46.713
344,84.098,14,0.095,66.897
345,99.776,14,0.154,28.885
346,112.412,14,0.125,30.72
347,102.357,17,0.123,77.97
348,117.031,34,0.125,56.585
349,97.851,17,0.123,45.876
350,88.332,28,0.123,60.823
351,85.093,12,0.128,37.47
352,109.83,28,0.108,56.009
353,101.559,15,0.169,38.318
354,109.295,24,0.19,41.655
355,82.915,19,0.182,40.736
356,119.594,38,0.105,69.486
357,97.316,31,0.108,69.136
358,79.272,15,0.149,40.964
359,80.709,16,0.113,55.303
360,80.427,9,0.141,54.021
361,95.823,13,0.104,73.295
362,106.967,4,0.239,32.726
363,96.189,27,0.107,74.646
364,124.626,14,0.126,30.806
365,107.962,19,0.111,54.883
366,122.645,33,0.114,65.104
367,106.328,12,0.168,32.972
368,133.244,19,0.114,41.255
369,73.132,2,0.094,42.333
370,102.968,9,0.095,50.505
371,123.396,22,0.143,46.792
372,81.075,9,0.092,69.133
373,101.174,25,0.106,72.876
374,98.02,15,0.116,64.258
375,142.144,21,0.16,36.206
376,132.474,29,0.118,54.155
377,119.838,14,0.12,32.182
378,101.756,18,0.141,54.795
379,94.49,18,0.152,53.287
380,102.282,12,0.12,51.286
381,88.491,8,0.088,44.157
382,83.947,19,0.15,43.369
383,105.08,12,0.107,49.343
384,112.055,17,0.115,68.902
385,80.127,7,0.149,49.026
386,128.184,14,0.115,47.938
387,108.704,12,0.158,37.168
388,107.774,20,0.123,40.83
389,126.56,30,0.12,61.015
390,93.955,9,0.099,46.85
391,88.472,11,0.163,37.573
392,119.528,19,0.158,39.872
393,104.714,9,0.11,42.716
394,86.37,8,0.138,31.568
395,133,29,0.112,55.931
396,102.986,13,0.122,42.077
397,124.682,15,0.145,39.361
398,108.131,24,0.12,56.867
399,115.594,22,0.125,52.337
400,125.489,23,0.118,39.952
401,143.176,49,0.139,52.314
402,105.136,21,0.156,43.747
403,103.587,15,0.165,37.029
404,107.098,15,0.103,49.816
405,121.321,17,0.112,42.927
406,103.071,8,0.256,34.894
407,140.707,34,0.107,62.93
408,109.595,18,0.168,44.338
409,151.597,49,0.136,59.241
410,115.435,20,0.133,44.436
411,149.551,23,0.134,40.399
412,106.225,23,0.133,40.19
413,105.023,17,0.138,41.051
414,110.647,14,0.162,55.992
415,104.751,20,0.123,50.763
416,124.851,13,0.144,39.077
417,129.902,24,0.15,41.432
418,86.952,19,0.145,32.495
419,90.162,20,0.12,44.391
420,128.897,29,0.118,41.519
421,117.453,18,0.146,38.684
422,88.566,22,0.117,59.074
423,95.692,22,0.176,41.877
424,129.592,29,0.119,59.219
425,102.31,12,0.125,36.994
426,105.146,17,0.182,36.085
427,112.271,27,0.12,60.977
428,99.109,20,0.102,73.372
429,135.656,24,0.123,70.047
430,118.016,18,0.161,40.781
431,106.629,20,0.167,40.102
432,116.655,21,0.097,69.056
433,112.665,18,0.096,80.729
434,108.638,8,0.331,33.405
435,112.571,34,0.16,51.382
436,107.737,20,0.103,53.297
437,113.52,16,0.137,51.294
438,116.017,20,0.135,36.493
439,116.167,24,0.15,38.434
440,148.828,35,0.102,70.831
441,104.967,32,0.116,47.582
442,114.825,39,0.113,59.264
443,91.862,18,0.11,46.394
444,120.232,13,0.173,44.35
445,89.552,22,0.127,44.37
446,81.309,19,0.094,68.584
447,87.646,18,0.098,58.579
448,168.13,20,0.132,48.183
449,87.055,13,0.171,49.84
450,180.296,23,0.093,61.353
451,125.508,15,0.123,54.57
452,140.257,25,0.117,65.358
453,122.053,9,0.094,49.097
454,106.563,27,0.134,49.007
455,116.064,12,0.106,52.434
456,145.692,17,0.14,76.773
457,115.613,8,0.194,35.024
458,111.37,18,0.099,87.754
459,101.184,29,0.172,53.6
460,89.73,12,0.113,43.325
461,120.401,16,0.131,40.575
462,85.318,5,0.103,30.359
463,84.004,8,0.097,43.179
464,105.512,11,0.119,49.606
465,87.928,10,0.096,67.676
466,84.389,8,0.101,65.241
