 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity
1,124.644,15,0.095,60.599
2,80.07,5,0.13,59.89
3,100.179,9,0.121,51.504
4,78.775,9,0.11,62.389
5,78.268,6,0.094,120.776
6,88.294,11,0.107,65.771
7,135.131,20,0.141,51.974
8,97.954,9,0.091,64.576
9,113.116,13,0.11,52.571
10,161.22,15,0.202,45.442
11,78.868,10,0.113,62.849
12,121.199,9,0.201,46.295
13,211.389,26,0.142,65.187
14,128.981,16,0.129,66.281
15,143.148,17,0.099,61.614
16,137.337,16,0.101,92.331
17,182.005,25,0.148,53.084
18,121.396,19,0.099,87.343
19,173.143,24,0.108,59.115
20,80.981,13,0.145,49.273
21,98.499,9,0.111,65.296
22,77.01,10,0.107,82.983
23,106.225,14,0.136,46.35
24,94.988,12,0.158,54.825
25,104.441,19,0.112,58.259
26,130.887,19,0.104,74.222
27,97.682,15,0.148,47.629
28,113.163,17,0.136,45.765
29,97.616,16,0.106,56.342
30,107.708,26,0.107,72.393
31,104.929,14,0.193,45.876
32,95.466,22,0.106,63.412
33,115.848,14,0.121,59.641
34,114.777,28,0.103,66.409
35,114.148,12,0.093,65.35
36,105.605,17,0.121,74.7
37,108.028,23,0.119,51.369
38,106.328,10,0.13,59.763
39,114.355,24,0.101,71.06
40,143.251,24,0.133,59.191
41,97.306,14,0.107,77.515
42,96.114,23,0.139,64.704
43,112.571,9,0.178,46.371
44,96.818,17,0.135,68.091
45,112.477,18,0.126,54.992
46,90.275,14,0.093,74.479
47,104,14,0.122,52.425
48,107.333,16,0.118,51.553
49,100.977,11,0.147,60.655
50,86.905,15,0.126,57.479
51,82.699,14,0.124,60.957
52,111.858,20,0.122,55.702
53,142.622,26,0.121,65.079
54,97.616,29,0.121,62.576
55,108.488,11,0.092,57.678
56,114.477,23,0.169,52.474
57,107.183,17,0.102,54.034
58,106.723,19,0.17,38.346
59,95.466,20,0.096,59.659
60,89.017,25,0.132,70.718
61,115.895,17,0.131,52.89
62,155.108,37,0.123,63.347
63,90.397,16,0.122,59.529
64,84.482,8,0.13,47.381
65,128.249,14,0.158,58.664
66,106.676,12,0.1,61.241
67,86.341,13,0.116,67.211
68,94.913,11,0.114,65.09
69,119.011,12,0.102,51.617
70,100.029,20,0.158,57.282
71,110.346,16,0.101,72.497
72,93.063,17,0.192,52.278
73,82.727,6,0.114,41.623
74,101.118,8,0.089,69.812
75,99.175,19,0.173,62.742
76,97.776,8,0.096,54.828
77,113.463,23,0.159,56.461
78,110.562,24,0.107,72.937
79,134.258,16,0.153,50.454
80,100.329,12,0.125,59.556
81,121.959,28,0.117,62.235
82,110.083,30,0.106,70.537
