 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth,number_of_empty_rings
144,102.038,36,0.140,22.119,0.573,0
145,144.321,23,0.140,32.709,205.854,0
146,105.023,16,0.137,23.028,378.504,0
147,99.146,5,0.101,43.407,219.640,0
148,116.214,21,0.139,21.384,461.623,0
149,106.732,26,0.117,34.877,243.540,0
150,78.699,26,0.191,23.414,433.974,0
151,121.978,30,0.146,35.643,226.817,0
152,95.081,25,0.131,23.454,423.055,0
153,130.258,30,0.113,32.475,271.279,0
154,88.857,10,0.119,22.504,359.918,0
155,88.782,30,0.113,37.154,482.218,0
156,111.313,19,0.151,25.108,322.560,0
157,87.430,33,0.139,25.034,346.668,0
158,125.386,31,0.127,42.824,390.231,0
159,123.499,11,0.091,29.672,299.449,0
160,108.159,24,0.124,28.533,141.653,0
161,125.132,26,0.138,27.092,184.099,0
162,100.808,33,0.117,34.035,397.049,0
163,77.704,29,0.152,31.809,434.049,0
164,95.316,15,0.126,16.693,426.449,0
165,113.350,14,0.151,25.765,108.881,0
166,98.414,24,0.120,36.811,153.460,0
167,100.893,15,0.105,26.841,371.797,0
168,111.332,36,0.127,30.418,276.423,0
169,114.533,27,0.117,27.561,312.440,0
170,110.778,25,0.159,37.631,213.104,0
171,101.287,7,0.095,23.146,358.479,0
172,96.349,16,0.179,23.054,120.716,0
173,103.343,27,0.153,26.131,441.432,0
174,119.208,22,0.144,23.017,290.337,0
175,92.913,28,0.124,31.723,264.125,0
176,98.968,23,0.141,26.180,431.294,0
177,104.864,38,0.134,38.307,370.368,0
178,111.388,24,0.117,32.000,403.068,0
179,114.984,20,0.143,24.065,151.361,0
180,134.117,42,0.121,35.686,182.146,0
181,136.961,7,0.133,16.304,337.534,0
182,90.660,10,0.121,22.946,20.840,0
183,86.782,7,0.173,17.431,114.392,0
184,104.366,5,0.207,15.079,479.945,0
185,85.327,19,0.118,25.335,101.687,0
186,93.805,18,0.139,20.589,319.019,0
187,103.024,14,0.115,18.879,230.284,0
188,100.611,15,0.138,17.742,162.734,0
189,86.444,33,0.143,22.321,138.796,0
190,150.668,24,0.167,21.214,255.530,0
191,114.233,20,0.105,40.924,287.954,0
192,99.250,26,0.159,22.222,414.024,0
193,135.590,23,0.108,36.616,227.839,0
194,93.758,24,0.109,33.378,422.089,0
195,118.795,19,0.112,33.102,378.248,0
196,100.893,3,0.147,15.942,401.618,0
197,129.113,41,0.119,39.598,475.016,0
198,123.227,36,0.118,27.771,439.607,0
199,136.952,38,0.127,29.282,172.968,0
200,112.909,37,0.114,30.516,329.319,0
201,146.743,37,0.151,26.257,281.084,0
202,135.337,10,0.155,15.082,294.132,0
203,126.728,27,0.115,35.343,114.722,0
204,109.980,41,0.104,30.878,355.062,0
205,125.761,22,0.166,24.769,198.351,0
206,116.711,13,0.133,25.682,453.507,0
207,106.047,24,0.146,29.346,212.758,0
208,92.274,30,0.113,43.970,377.205,0
209,115.603,29,0.120,21.220,436.048,0
210,95.260,43,0.114,40.291,145.935,0
211,134.689,31,0.119,24.034,398.114,0
212,124.240,34,0.116,28.106,246.202,0
213,106.450,22,0.132,18.735,365.505,0
214,101.165,16,0.181,16.846,146.195,0
215,127.752,27,0.141,34.658,128.860,0
216,103.146,14,0.133,18.351,438.589,0
217,118.495,14,0.174,20.092,103.539,0
218,113.491,36,0.107,41.783,185.391,0
219,109.614,24,0.155,24.632,347.348,0
220,132.108,24,0.121,24.170,280.482,0
221,102.817,16,0.150,29.446,210.471,0
222,102.470,17,0.143,24.919,467.284,0
223,85.252,22,0.129,20.803,234.517,0
224,107.436,14,0.155,20.742,156.579,0
225,102.855,12,0.118,21.752,253.735,0
226,85.440,28,0.115,35.804,379.951,0
227,85.064,29,0.116,33.850,335.282,0
228,113.914,13,0.108,27.957,399.876,0
229,108.516,20,0.112,22.964,182.409,0
230,123.912,28,0.117,24.590,197.687,0
231,110.346,29,0.124,28.049,231.179,0
232,110.844,19,0.116,24.906,291.333,0
233,110.431,43,0.149,29.330,112.430,0
234,148.170,26,0.115,31.816,408.677,0
235,85.393,29,0.130,26.091,464.576,0
236,109.107,22,0.110,22.982,293.733,0
237,116.861,28,0.135,28.403,173.592,0
238,103.409,34,0.104,48.615,448.830,0
239,107.558,33,0.125,30.975,370.871,0
240,123.367,32,0.127,34.242,301.475,0
