 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
1,119.349,7,0.156,14.656,60.291
2,94.312,25,0.142,30.358,290.304
3,81.319,13,0.147,34.827,277.733
4,91.843,13,0.121,30.006,246.964
5,107.699,19,0.103,28.505,233.128
6,145.626,22,0.179,20.524,177.570
7,111.172,21,0.145,20.592,117.826
8,102.667,12,0.109,21.534,87.825
9,84.717,11,0.104,25.797,426.898
10,86.989,12,0.345,19.817,394.911
11,201.119,36,0.162,34.212,375.522
12,120.457,25,0.123,32.815,347.359
13,116.326,20,0.138,32.152,332.825
14,91.364,14,0.134,25.224,317.216
15,111.191,26,0.136,42.300,306.931
16,89.561,22,0.144,31.922,298.104
17,77.629,22,0.119,37.620,446.502
18,90.387,13,0.139,35.225,435.853
19,87.130,14,0.137,46.746,534.369
20,95.006,7,0.109,29.432,520.526
21,103.362,14,0.120,27.721,466.203
22,81.713,15,0.113,26.410,455.503
23,139.158,17,0.215,17.708,502.332
24,161.943,28,0.142,30.258,211.806
25,121.218,19,0.116,27.943,242.222
26,158.084,26,0.106,39.207,535.849
27,108.778,42,0.120,50.837,355.752
28,96.987,25,0.158,22.103,481.100
29,104.460,22,0.122,33.956,417.468
30,116.186,8,0.202,15.580,72.116
31,96.114,20,0.173,33.531,390.973
32,118.392,16,0.124,25.224,131.107
33,102.714,21,0.122,41.043,445.396
34,130.878,21,0.120,24.323,495.818
35,77.451,9,0.155,19.779,112.510
36,110.600,18,0.136,26.413,282.968
37,110.177,27,0.112,28.811,316.507
38,122.701,26,0.133,29.348,402.908
39,84.238,14,0.100,24.181,161.405
40,123.940,19,0.165,18.962,94.316
41,106.629,22,0.151,26.334,455.154
42,78.305,20,0.111,43.860,352.583
43,161.914,28,0.144,20.932,174.711
44,83.919,18,0.213,23.189,431.274
45,129.563,9,0.117,19.479,116.276
46,134.952,30,0.164,26.798,288.180
47,118.626,30,0.148,23.064,420.679
48,92.856,22,0.145,40.008,322.924
49,80.530,20,0.161,26.378,355.800
50,90.162,12,0.162,27.599,231.231
51,91.561,7,0.207,20.338,129.057
52,84.736,15,0.106,31.087,397.102
53,98.170,28,0.130,26.570,347.629
54,90.800,19,0.114,29.792,369.836
55,117.312,24,0.182,29.886,199.515
56,123.170,36,0.124,40.067,312.652
57,128.080,28,0.108,29.484,380.523
58,92.556,15,0.186,25.997,336.582
59,129.714,15,0.102,37.517,535.549
60,113.482,17,0.129,22.406,158.321
61,118.073,18,0.131,26.130,512.151
62,104.197,21,0.135,33.623,445.122
63,78.549,23,0.148,36.614,351.699
64,110.797,28,0.101,30.013,491.586
65,115.435,31,0.163,27.976,218.456
66,129.066,31,0.108,34.534,466.922
67,125.620,35,0.124,32.776,199.590
68,103.409,33,0.127,43.921,396.338
69,115.416,29,0.122,29.359,270.766
70,101.522,30,0.133,33.675,428.974
71,117.444,34,0.105,52.230,355.653
72,135.910,44,0.118,34.170,228.447
73,100.526,21,0.116,29.277,246.431
74,101.737,26,0.110,28.344,450.341
