 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
1,95.494,6,0.108,11.072,158.251
2,96.227,14,0.148,15.956,259.675
3,141.740,13,0.129,15.461,233.067
4,106.638,12,0.192,11.729,203.532
5,107.952,9,0.095,22.429,172.803
6,76.315,11,0.119,21.447,247.954
7,78.286,7,0.139,14.798,191.282
8,120.504,20,0.176,14.984,394.745
9,135.910,24,0.141,20.747,355.209
10,76.512,12,0.113,20.849,343.684
11,248.105,30,0.114,20.884,318.170
12,135.271,20,0.184,16.055,287.036
13,121.480,19,0.115,23.785,427.046
14,92.481,16,0.159,15.958,417.801
15,115.594,21,0.158,20.772,469.643
16,131.479,29,0.147,17.153,437.955
17,116.026,26,0.125,22.394,482.714
18,113.416,6,0.200,10.838,7.636
19,133.976,16,0.122,17.023,183.873
20,118.232,22,0.111,14.669,200.876
21,124.851,31,0.109,22.585,491.620
22,117.669,15,0.138,14.264,153.826
23,90.566,12,0.134,13.874,251.180
24,105.746,11,0.151,16.346,237.645
25,118.486,33,0.114,20.257,341.401
26,116.354,20,0.119,18.465,223.930
27,84.858,13,0.130,21.123,507.375
28,123.902,34,0.126,16.540,317.787
29,106.751,23,0.145,15.594,209.644
30,115.078,30,0.129,21.089,408.925
31,127.761,20,0.123,13.774,157.543
32,111.285,28,0.136,21.193,453.101
33,110.618,15,0.123,15.061,135.269
34,132.783,21,0.189,18.467,262.720
35,110.149,32,0.135,20.449,432.705
36,117.669,11,0.143,14.413,243.562
37,97.306,20,0.107,18.589,391.948
38,143.354,29,0.136,18.897,271.533
39,107.089,30,0.125,21.733,378.966
40,133.957,16,0.111,18.148,173.424
41,109.586,39,0.140,21.067,446.443
42,113.059,23,0.137,20.263,286.257
43,116.308,25,0.107,17.212,218.076
44,107.530,23,0.122,20.481,328.829
45,116.411,29,0.157,22.145,456.432
46,126.907,18,0.171,17.894,357.658
47,82.173,14,0.134,19.976,486.309
48,99.503,13,0.170,16.984,239.623
49,88.369,19,0.143,19.175,312.942
50,107.990,17,0.120,16.404,152.601
51,81.384,23,0.165,18.098,339.497
52,93.382,20,0.119,20.992,332.165
53,145.795,38,0.105,19.011,226.393
54,119.330,18,0.134,12.925,204.906
55,76.934,24,0.128,25.703,414.566
56,84.266,14,0.118,21.152,481.453
57,82.764,13,0.136,17.609,504.204
58,99.578,8,0.107,13.022,127.989
59,128.371,34,0.172,18.574,302.159
60,105.173,23,0.154,18.694,358.502
61,133.168,23,0.160,16.967,343.923
62,116.120,26,0.118,19.339,281.199
63,103.587,35,0.136,22.310,458.029
64,94.640,13,0.119,13.364,92.721
65,106.929,18,0.130,18.061,368.733
66,101.597,24,0.115,21.962,434.089
67,116.552,20,0.150,12.947,159.823
68,110.215,29,0.139,19.132,403.652
69,94.527,24,0.109,15.854,178.482
70,109.191,21,0.138,14.557,223.263
71,101.353,27,0.134,19.268,499.832
72,105.399,6,0.102,11.969,121.254
73,97.616,20,0.145,17.237,291.971
74,130.352,26,0.173,12.412,247.372
75,91.138,10,0.231,10.347,139.754
76,113.594,30,0.111,24.213,440.972
77,122.494,15,0.209,12.179,196.190
78,100.508,26,0.122,23.125,487.589
79,97.381,21,0.144,23.766,457.200
80,99.710,14,0.114,28.000,370.277
81,106.967,15,0.115,12.978,126.327
82,125.611,22,0.139,14.336,176.776
83,85.534,15,0.131,22.389,357.994
84,99.034,20,0.121,20.111,318.768
85,97.306,19,0.215,15.073,471.436
86,101.212,34,0.125,27.126,441.207
87,104.291,14,0.170,11.582,256.967
88,102.094,28,0.150,21.599,348.265
89,107.699,15,0.110,21.962,287.354
90,111.689,17,0.128,22.915,392.582
91,135.619,31,0.132,19.448,317.984
92,132.455,35,0.123,15.762,211.346
93,85.834,28,0.133,23.595,453.081
94,151.240,41,0.109,25.406,337.174
95,92.716,21,0.134,26.106,440.732
96,100.188,20,0.143,14.485,193.872
97,94.302,14,0.113,18.785,254.681
98,98.987,21,0.143,23.908,298.816
99,82.868,13,0.103,13.897,74.583
100,104.901,27,0.126,24.427,417.071
101,102.977,29,0.118,23.454,380.879
102,86.501,19,0.164,15.153,248.454
103,121.584,23,0.184,15.451,288.030
104,91.486,19,0.198,20.735,443.795
105,145.241,27,0.128,15.607,153.656
106,131.826,26,0.164,18.265,233.675
107,91.852,21,0.121,19.986,496.277
108,102.517,23,0.116,22.826,479.198
109,119.499,24,0.140,13.967,192.328
110,87.271,30,0.106,30.244,467.884
111,123.405,17,0.128,15.234,168.561
112,125.696,30,0.105,25.259,324.855
113,96.734,25,0.130,17.957,413.684
114,103.831,27,0.147,24.469,351.862
115,119.302,22,0.121,26.301,429.276
116,96.987,28,0.123,27.861,465.737
117,114.655,20,0.124,15.808,291.087
118,134.229,21,0.169,12.284,204.326
119,110.290,25,0.125,20.208,470.336
120,114.805,15,0.168,14.704,253.620
121,101.690,23,0.131,18.815,439.567
