 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
1,87.881,6,0.149,34.600,6.049
2,77.995,5,0.257,42.036,5.347
3,116.477,5,0.096,56.673,1.313
4,92.875,4,0.153,47.262,17.296
5,90.697,3,0.081,102.548,19.936
6,101.033,2,0.122,22.923,24.469
7,107.023,5,0.088,42.617,25.397
8,120.898,4,0.101,33.041,37.691
9,92.969,6,0.147,25.426,45.384
10,85.384,6,0.178,28.322,49.355
11,104.300,7,0.101,33.244,50.729
12,82.258,1,0.094,36.571,59.164
13,102.188,5,0.103,34.152,62.376
14,136.182,2,0.094,27.550,72.310
15,97.964,2,0.080,96.652,70.770
16,112.205,8,0.131,33.186,68.767
17,105.699,2,0.103,72.000,74.197
18,103.521,7,0.125,36.010,67.516
19,81.262,7,0.113,36.798,74.269
20,102.770,9,0.092,67.511,77.049
21,115.716,1,0.103,31.333,84.287
22,125.790,8,0.094,36.631,85.947
23,158.648,4,0.117,27.360,93.055
24,92.246,10,0.092,31.306,81.293
25,118.392,1,0.094,36.818,90.202
26,108.215,3,0.285,20.266,91.671
27,113.642,6,0.177,32.491,94.791
28,139.627,11,0.096,34.164,97.584
29,104.498,6,0.088,37.375,89.687
30,127.207,6,0.117,36.953,102.971
31,102.902,5,0.120,38.422,99.253
32,108.488,8,0.102,49.544,104.569
33,90.510,2,0.131,31.759,108.240
34,137.327,5,0.092,48.750,111.307
35,135.985,12,0.203,36.739,117.876
36,128.353,12,0.105,57.485,113.864
37,86.642,13,0.109,45.424,114.259
38,94.884,12,0.123,36.151,115.506
39,114.918,9,0.143,26.723,118.453
40,112.393,5,0.146,27.415,114.251
41,130.221,6,0.110,49.071,116.626
42,109.548,4,0.099,60.283,116.249
43,85.506,5,0.137,54.397,122.035
44,147.194,9,0.110,44.907,125.734
45,88.501,7,0.091,60.853,97.141
46,90.491,5,0.128,61.746,128.899
47,161.417,9,0.114,75.165,138.332
48,129.282,3,0.210,27.597,136.099
49,117.528,6,0.197,33.566,134.122
50,113.923,8,0.127,50.894,132.234
51,87.590,9,0.140,30.716,132.661
52,95.185,5,0.098,61.385,129.805
53,148.039,11,0.105,42.762,124.777
54,110.544,7,0.094,51.073,141.457
55,112.543,14,0.105,63.635,143.876
56,110.487,5,0.212,34.881,137.324
57,194.650,18,0.165,40.687,148.044
58,100.752,6,0.095,60.371,146.293
59,125.574,10,0.099,52.974,147.812
60,112.947,5,0.323,26.960,124.017
61,90.585,6,0.103,51.465,139.395
62,82.614,5,0.096,37.321,144.712
63,113.304,6,0.099,58.388,154.913
64,98.940,9,0.116,43.378,149.719
65,111.529,10,0.164,42.812,151.607
66,128.155,14,0.158,39.671,140.033
67,97.597,4,0.103,48.809,119.813
68,112.534,15,0.126,40.767,161.640
69,86.998,4,0.099,56.386,147.534
70,129.488,9,0.102,58.136,161.515
71,137.872,7,0.137,52.156,161.944
72,96.011,13,0.217,27.777,156.677
73,96.227,3,0.113,41.951,143.641
74,126.926,14,0.121,34.511,160.933
75,102.629,5,0.098,32.782,166.547
76,94.124,13,0.099,51.455,166.177
77,80.389,8,0.092,55.571,67.697
78,87.243,7,0.115,38.583,165.925
79,102.188,5,0.169,34.385,168.811
80,92.885,9,0.146,31.480,104.322
81,94.255,6,0.128,29.557,165.250
82,86.491,13,0.104,34.947,166.903
83,107.680,14,0.123,49.408,165.950
84,117.293,17,0.118,46.898,171.877
85,106.216,8,0.092,68.297,172.505
86,87.036,10,0.152,36.582,172.091
87,122.663,21,0.100,43.586,179.155
88,114.486,6,0.103,36.928,155.777
89,110.008,7,0.149,51.124,180.252
90,85.506,5,0.154,35.977,60.725
91,117.500,14,0.183,33.516,182.178
92,111.529,14,0.148,35.712,180.515
93,99.541,8,0.101,51.690,131.326
94,86.961,5,0.103,55.418,155.519
95,119.190,11,0.170,44.917,174.106
96,99.400,11,0.105,45.087,140.649
97,157.718,22,0.141,48.156,186.442
98,131.591,9,0.107,40.796,188.082
99,120.729,15,0.131,47.294,157.939
100,107.699,9,0.105,31.777,165.183
101,89.862,6,0.099,80.164,168.818
102,114.562,11,0.134,48.928,184.383
103,139.074,17,0.119,44.068,190.276
104,120.889,19,0.094,55.960,187.709
