 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
1,163.651,13,0.160,10.469,238.514
2,175.255,17,0.115,11.424,210.550
3,104.544,6,0.163,11.926,190.957
4,118.748,10,0.116,11.214,177.883
5,93.476,6,0.150,9.448,168.569
6,119.377,8,0.121,10.491,149.841
7,141.157,9,0.140,13.338,394.212
8,100.846,13,0.121,10.930,301.874
9,178.540,21,0.125,12.037,487.739
10,157.896,14,0.113,14.782,460.509
11,120.560,11,0.097,19.573,445.490
12,87.430,7,0.133,11.252,502.661
13,143.420,13,0.134,9.995,508.216
14,101.531,11,0.101,12.767,160.742
15,115.603,19,0.119,12.704,230.589
16,116.871,6,0.122,10.446,0.881
17,112.543,18,0.129,12.552,475.232
18,147.147,23,0.129,14.991,187.343
19,107.680,16,0.141,11.215,255.328
20,79.047,4,0.127,7.698,198.624
21,92.002,8,0.106,13.178,71.784
22,149.954,18,0.119,9.987,404.047
23,105.202,14,0.123,13.801,307.344
24,116.599,19,0.106,12.013,331.883
25,123.921,16,0.124,12.429,205.084
26,110.740,14,0.114,12.546,241.227
27,162.130,22,0.207,8.142,352.042
28,116.908,13,0.126,15.471,273.107
29,99.681,9,0.111,12.234,175.371
30,126.860,19,0.164,10.314,429.003
31,110.083,15,0.108,11.771,155.930
32,87.740,16,0.100,11.016,283.315
33,83.788,16,0.117,12.152,316.806
34,112.017,23,0.122,10.052,193.849
35,108.300,6,0.139,11.204,3.064
36,97.447,14,0.134,9.175,471.747
37,104.178,14,0.122,11.011,96.358
38,117.415,19,0.204,9.612,216.877
39,104.103,16,0.124,11.381,230.880
40,109.586,16,0.100,10.503,370.204
41,113.773,24,0.128,12.160,167.903
42,109.360,21,0.111,13.627,262.979
43,84.933,6,0.113,14.528,11.841
44,105.971,26,0.132,10.554,405.797
45,102.836,6,0.103,9.400,395.199
46,85.844,12,0.168,8.641,23.898
47,115.763,19,0.131,10.309,156.338
48,103.756,21,0.125,10.459,305.533
49,111.914,19,0.132,11.272,181.694
50,88.942,16,0.131,10.415,349.563
51,134.408,24,0.127,11.097,458.510
52,107.511,21,0.157,12.180,280.089
53,92.049,8,0.100,18.832,199.935
54,122.091,28,0.118,11.676,225.252
55,111.933,16,0.119,11.788,244.071
56,136.942,29,0.116,12.439,317.388
57,98.940,19,0.110,15.029,338.939
58,91.664,18,0.132,10.977,292.328
59,114.505,17,0.107,13.951,256.839
60,94.265,29,0.111,11.638,202.214
61,107.098,19,0.134,10.021,468.317
62,116.908,27,0.133,11.412,165.232
63,89.974,17,0.107,10.971,282.924
64,107.145,25,0.137,9.730,207.234
65,99.409,13,0.113,12.655,192.803
66,127.808,24,0.130,10.191,427.943
67,139.618,20,0.107,10.512,492.172
68,98.273,11,0.172,9.701,214.955
69,157.877,27,0.145,11.212,178.007
70,141.308,21,0.106,11.743,241.880
71,129.469,14,0.139,11.821,377.948
72,101.052,18,0.106,9.923,138.386
73,113.651,25,0.150,11.354,259.045
74,98.883,17,0.138,12.340,325.938
75,103.953,11,0.126,12.329,288.353
76,128.146,28,0.127,12.802,315.492
77,95.034,15,0.121,12.773,352.999
78,120.945,20,0.119,10.420,207.470
79,100.761,16,0.106,22.663,29.401
80,132.840,29,0.122,11.730,164.248
81,88.529,18,0.130,9.992,477.723
82,135.384,13,0.122,12.155,411.829
83,127.047,15,0.123,9.000,455.337
84,109.398,18,0.120,10.489,483.696
85,122.851,20,0.111,14.157,183.631
