 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
1,78.484,2,0.099,16.762,2.863
2,115.237,19,0.121,22.816,50.575
3,106.835,12,0.204,17.664,180.385
4,95.269,12,0.113,18.761,171.082
5,121.462,16,0.199,16.680,155.696
6,154.977,24,0.119,21.744,138.271
7,114.890,25,0.163,20.823,124.022
8,130.108,24,0.121,19.032,113.583
9,159.915,31,0.176,15.007,98.286
10,148.105,20,0.132,19.096,83.237
11,130.540,13,0.118,22.554,69.218
12,98.292,12,0.104,25.782,58.543
13,152.883,8,0.197,15.617,246.511
14,93.354,17,0.197,18.554,319.634
15,104.563,10,0.192,17.311,311.478
16,88.444,8,0.180,17.235,303.617
17,86.144,9,0.136,13.931,297.518
18,106.150,18,0.236,16.199,288.954
19,129.817,14,0.123,21.000,277.256
20,129.441,16,0.167,16.224,266.506
21,115.557,8,0.127,16.333,258.257
22,194.641,24,0.124,17.899,224.222
23,98.330,10,0.130,23.867,210.134
24,119.678,15,0.178,20.374,203.247
25,123.696,14,0.166,18.052,194.748
26,119.040,18,0.147,21.098,430.418
27,124.569,21,0.206,15.775,421.738
28,197.551,35,0.137,18.171,407.137
29,111.801,13,0.112,28.675,390.245
30,97.719,14,0.099,23.118,382.036
31,195.007,20,0.110,19.833,366.018
32,130.399,14,0.169,16.620,346.941
33,128.362,10,0.153,15.251,333.371
34,93.889,1,0.084,9.000,1.126
35,96.124,15,0.106,22.615,58.366
36,109.896,9,0.090,24.261,10.552
37,97.100,16,0.138,17.870,346.099
38,131.929,4,0.148,14.603,3.339
39,95.598,12,0.117,20.934,65.855
40,91.092,17,0.113,23.829,406.700
41,133.619,7,0.126,15.000,4.611
42,95.739,6,0.175,14.876,45.294
43,133.093,20,0.147,17.505,388.657
44,101.409,24,0.142,27.447,246.854
45,93.307,2,0.103,15.773,1.213
46,120.823,15,0.197,13.437,436.566
47,92.312,4,0.146,19.016,2.911
48,90.707,30,0.135,22.045,413.736
49,105.230,14,0.110,15.842,22.253
50,103.803,11,0.159,16.295,71.597
51,116.345,3,0.081,26.385,1.147
52,115.294,33,0.116,25.153,384.786
53,98.405,28,0.123,22.358,328.970
54,87.599,15,0.133,18.347,397.639
